origin,destination,count
ATL,DCA,4
ATL,DEN,5
ATL,DFW,7
ATL,DTW,4
ATL,EWR,12
ATL,FLL,4
ATL,JFK,7
ATL,LAS,4
ATL,LAX,9
ATL,MCO,5
ATL,MSP,4
ATL,PHX,6
ATL,SAN,5
ATL,SFO,11
ATL,SLC,3
BOS,ATL,7
BOS,BWI,7
BOS,DCA,9
BOS,DEN,7
BOS,DFW,6
BOS,DTW,9
BOS,EWR,10
BOS,JFK,5
BOS,LAS,13
BOS,LGA,6
BOS,MCO,6
BOS,MSP,9
BOS,PHL,7
BOS,PHX,12
BOS,SAN,8
BOS,SEA,12
BOS,SLC,13
BWI,ATL,6
BWI,BOS,6
BWI,CLT,4
BWI,DEN,8
BWI,DFW,2
BWI,DTW,4
BWI,EWR,8
BWI,IAH,6
BWI,JFK,12
BWI,LAS,2
BWI,LAX,6
BWI,MCO,7
BWI,MSP,2
BWI,PHL,0
BWI,PHX,6
BWI,SAN,5
BWI,SEA,5
CLT,ATL,3
CLT,BOS,8
CLT,BWI,4
CLT,DTW,5
CLT,EWR,11
CLT,FLL,6
CLT,IAH,11
CLT,LAS,5
CLT,LAX,9
CLT,LGA,8
CLT,MCO,4
CLT,MDW,5
CLT,MSP,6
CLT,PHL,8
CLT,SAN,6
CLT,SEA,4
CLT,SLC,3
DCA,DEN,6
DCA,DFW,6
DCA,DTW,8
DCA,EWR,16
DCA,IAH,6
DCA,JFK,3
DCA,LAS,7
DCA,LGA,7
DCA,MCO,9
DCA,PHL,3
DCA,PHX,15
DCA,SEA,3
DCA,SLC,8
DEN,ATL,7
DEN,BOS,12
DEN,BWI,8
DEN,DCA,8
DEN,DFW,13
DEN,DTW,4
DEN,EWR,10
DEN,FLL,11
DEN,IAH,10
DEN,LAX,8
DEN,LGA,9
DEN,MCO,6
DEN,PHL,9
DEN,PHX,10
DEN,SLC,10
DFW,ATL,6
DFW,BOS,12
DFW,CLT,5
DFW,DCA,5
DFW,DEN,7
DFW,DTW,9
DFW,EWR,11
DFW,FLL,6
DFW,IAH,8
DFW,JFK,7
DFW,LAX,8
DFW,MCO,8
DFW,PHL,13
DFW,SAN,12
DFW,SEA,7
DFW,SLC,10
DTW,ATL,4
DTW,BOS,8
DTW,BWI,4
DTW,CLT,5
DTW,DCA,5
DTW,DEN,4
DTW,DFW,7
DTW,EWR,14
DTW,FLL,4
DTW,IAH,6
DTW,JFK,2
DTW,LAS,4
DTW,LAX,6
DTW,LGA,5
DTW,MSP,3
DTW,PHL,4
DTW,SAN,4
DTW,SEA,6
DTW,SFO,23
DTW,SLC,3
EWR,BOS,11
EWR,BWI,6
EWR,CLT,4
EWR,DCA,14
EWR,DFW,6
EWR,DTW,8
EWR,FLL,11
EWR,IAH,7
EWR,LAS,7
EWR,MCO,11
EWR,MSP,8
EWR,PHX,12
EWR,SLC,9
FLL,ATL,7
FLL,BOS,9
FLL,CLT,5
FLL,DFW,5
FLL,DTW,10
FLL,EWR,11
FLL,IAH,5
FLL,JFK,10
FLL,LAS,14
FLL,LGA,8
FLL,MCO,7
FLL,MSP,5
FLL,PHX,9
FLL,SAN,16
FLL,SEA,7
FLL,SLC,5
IAH,BOS,9
IAH,BWI,9
IAH,CLT,4
IAH,DCA,7
IAH,DEN,7
IAH,DFW,11
IAH,DTW,7
IAH,EWR,11
IAH,FLL,5
IAH,LAS,5
IAH,LAX,8
IAH,LGA,6
IAH,MCO,6
IAH,PHL,7
IAH,PHX,7
IAH,SEA,6
IAH,SLC,6
JFK,ATL,3
JFK,BOS,9
JFK,BWI,11
JFK,CLT,4
JFK,DCA,5
JFK,DEN,13
JFK,DFW,3
JFK,DTW,2
JFK,FLL,10
JFK,MCO,8
JFK,PHL,0
JFK,PHX,10
JFK,SLC,3
LAS,ATL,3
LAS,BOS,8
LAS,BWI,2
LAS,CLT,4
LAS,DCA,7
LAS,DTW,11
LAS,EWR,11
LAS,IAH,5
LAS,LAX,9
LAS,MCO,7
LAS,MSP,12
LAS,SLC,6
LAX,ATL,6
LAX,BOS,7
LAX,BWI,5
LAX,CLT,12
LAX,DCA,3
LAX,DFW,6
LAX,DTW,3
LAX,EWR,11
LAX,IAH,7
LAX,LAS,8
LAX,MSP,5
LAX,PHL,7
LAX,SAN,7
LAX,SLC,8
LGA,BOS,6
LGA,CLT,5
LGA,DCA,8
LGA,DEN,4
LGA,DTW,3
LGA,FLL,11
LGA,IAH,4
LGA,MCO,11
LGA,MSP,7
LGA,PHL,7
MCO,ATL,5
MCO,BOS,11
MCO,BWI,5
MCO,CLT,4
MCO,DCA,6
MCO,DFW,5
MCO,FLL,7
MCO,JFK,12
MCO,LAS,5
MCO,LGA,10
MCO,PHL,5
MCO,SAN,9
MCO,SEA,5
MCO,SFO,16
MCO,SLC,11
MDW,MCO,5
MDW,SFO,18
MDW,SLC,1
MSP,ATL,4
MSP,BOS,11
MSP,BWI,7
MSP,CLT,8
MSP,DCA,7
MSP,DEN,6
MSP,DFW,10
MSP,DTW,2
MSP,EWR,16
MSP,FLL,6
MSP,IAH,12
MSP,JFK,4
MSP,LAS,8
MSP,LAX,9
MSP,LGA,5
MSP,MCO,5
MSP,PHX,9
MSP,SAN,3
MSP,SEA,7
MSP,SLC,6
PHL,ATL,5
PHL,BOS,9
PHL,BWI,0
PHL,CLT,3
PHL,DCA,6
PHL,DEN,5
PHL,DFW,5
PHL,DTW,2
PHL,IAH,4
PHL,JFK,10
PHL,LAX,4
PHL,LGA,5
PHL,MCO,8
PHL,SAN,7
PHL,SEA,8
PHL,SFO,16
PHL,SLC,12
PHX,ATL,4
PHX,BOS,11
PHX,CLT,7
PHX,DCA,7
PHX,DEN,6
PHX,DTW,8
PHX,EWR,9
PHX,FLL,3
PHX,IAH,3
PHX,JFK,7
PHX,LAS,5
PHX,LAX,10
PHX,MCO,5
PHX,MSP,5
PHX,PHL,7
PHX,SLC,7
SAN,ATL,6
SAN,CLT,5
SAN,DFW,6
SAN,EWR,7
SAN,FLL,13
SAN,IAH,2
SAN,JFK,11
SAN,LAX,7
SAN,MCO,8
SAN,MSP,7
SAN,PHL,5
SAN,SLC,5
SEA,ATL,6
SEA,BOS,11
SEA,BWI,6
SEA,CLT,10
SEA,DCA,5
SEA,DTW,6
SEA,JFK,13
SEA,LAS,7
SEA,MCO,11
SEA,MSP,6
SEA,PHL,12
SEA,SAN,8
SFO,ATL,11
SFO,BOS,17
SFO,BWI,13
SFO,CLT,12
SFO,DCA,7
SFO,DTW,14
SFO,FLL,13
SFO,IAH,18
SFO,JFK,12
SFO,MCO,14
SLC,ATL,4
SLC,BOS,3
SLC,BWI,5
SLC,CLT,3
SLC,DCA,4
SLC,DEN,10
SLC,DTW,5
SLC,EWR,16
SLC,FLL,6
SLC,JFK,8
SLC,MCO,11
SLC,MSP,3
SLC,PHL,6
SLC,SAN,8
SLC,SEA,8
